OrderID,OrderDate,CustomerID,TotalAmount,Status
1,2023-01-01,25,6202.83,Cancelled
2,2023-01-02,32,9871.87,Cancelled
3,2023-01-03,78,6814.71,Completed
4,2023-01-04,89,4972.72,Pending
5,2023-01-05,91,5150.9,Pending
6,2023-01-06,6,6603.76,Pending
7,2023-01-07,20,7080.93,Cancelled
8,2023-01-08,15,4101.39,Cancelled
9,2023-01-09,16,1755.19,Pending
10,2023-01-10,34,4953.16,Pending
11,2023-01-11,49,7449.77,Cancelled
12,2023-01-12,76,9997.49,Cancelled
13,2023-01-13,38,8166.68,Cancelled
14,2023-01-14,98,605.24,Cancelled
15,2023-01-15,48,2758.82,Cancelled
16,2023-01-16,47,9969.86,Cancelled
17,2023-01-17,58,1077.43,Pending
18,2023-01-18,1,6506.6,Pending
19,2023-01-19,36,1548.39,Completed
20,2023-01-20,23,9254.6,Cancelled
21,2023-01-21,74,6965.34,Cancelled
22,2023-01-22,10,9044.64,Completed
23,2023-01-23,93,1355.14,Completed
24,2023-01-24,60,2319.98,Pending
25,2023-01-25,51,9004.92,Cancelled
26,2023-01-26,89,7869.59,Pending
27,2023-01-27,37,7486.4,Cancelled
28,2023-01-28,57,335.13,Completed
29,2023-01-29,3,2440.15,Cancelled
30,2023-01-30,74,5047.42,Cancelled
31,2023-01-31,50,8644.51,Pending
32,2023-02-01,17,1638.48,Completed
33,2023-02-02,8,6941.56,Pending
34,2023-02-03,51,5311.68,Cancelled
35,2023-02-04,69,688.77,Pending
36,2023-02-05,27,2205.99,Completed
37,2023-02-06,2,9628.26,Pending
38,2023-02-07,87,2106.5,Cancelled
39,2023-02-08,58,5739.66,Completed
40,2023-02-09,95,9646.55,Pending
41,2023-02-10,80,6569.68,Cancelled
42,2023-02-11,6,2379.75,Cancelled
43,2023-02-12,1,2818.2,Completed
44,2023-02-13,67,9915.55,Completed
45,2023-02-14,36,1254.53,Cancelled
46,2023-02-15,94,9313.24,Cancelled
47,2023-02-16,76,9624.88,Cancelled
48,2023-02-17,90,4001.2,Pending
49,2023-02-18,51,8863.17,Completed
50,2023-02-19,81,5596.78,Cancelled
51,2023-02-20,68,3254.91,Completed
52,2023-02-21,76,9684.27,Completed
53,2023-02-22,100,998.33,Pending
54,2023-02-23,33,3262.21,Pending
55,2023-02-24,77,4206.9,Cancelled
56,2023-02-25,90,4729.67,Completed
57,2023-02-26,56,7448.92,Pending
58,2023-02-27,63,3656.16,Completed
59,2023-02-28,30,4863.75,Cancelled
60,2023-03-01,54,3875.76,Pending
61,2023-03-02,7,7062.08,Completed
62,2023-03-03,40,4433.78,Pending
63,2023-03-04,89,4029.11,Completed
64,2023-03-05,22,2093.56,Pending
65,2023-03-06,98,7663.36,Completed
66,2023-03-07,59,3243.49,Pending
67,2023-03-08,33,7656.12,Completed
68,2023-03-09,89,2396.88,Cancelled
69,2023-03-10,52,5495.81,Cancelled
70,2023-03-11,42,9389.62,Pending
71,2023-03-12,6,4813.79,Cancelled
72,2023-03-13,26,1556.17,Cancelled
73,2023-03-14,78,1575.43,Completed
74,2023-03-15,30,7530.86,Cancelled
75,2023-03-16,38,6556.43,Cancelled
76,2023-03-17,4,1567.39,Pending
77,2023-03-18,61,5517.63,Completed
78,2023-03-19,49,6621.72,Pending
79,2023-03-20,8,7400.71,Completed
80,2023-03-21,71,4685.35,Completed
81,2023-03-22,68,3568.06,Pending
82,2023-03-23,97,7164.62,Pending
83,2023-03-24,45,8019.19,Pending
84,2023-03-25,63,5679.81,Pending
85,2023-03-26,34,3296.12,Pending
86,2023-03-27,31,8469.51,Pending
87,2023-03-28,84,9641.95,Cancelled
88,2023-03-29,13,2426.68,Pending
89,2023-03-30,50,9882.5,Cancelled
90,2023-03-31,39,814.55,Completed
91,2023-04-01,19,7794.42,Pending
92,2023-04-02,91,490.38,Completed
93,2023-04-03,86,5396.44,Pending
94,2023-04-04,44,372.22,Cancelled
95,2023-04-05,98,8451.73,Completed
96,2023-04-06,26,9377.03,Cancelled
97,2023-04-07,88,4041.91,Completed
98,2023-04-08,2,8694.48,Completed
99,2023-04-09,82,6142.68,Pending
100,2023-04-10,1,2846.0,Cancelled
101,2023-04-11,25,4839.74,Completed
